#{"t_start": 1778482934.5862615, "env_id": "None"}
r,l,t
3036.0,1800,11.761583
-898.0,1800,22.308575
1320.0,1800,34.726256
1404.0,1800,46.432368
2373.0,1800,55.368316
-11738.0,1800,63.367647
134.0,1800,69.39841
-190.0,1800,75.088877
1083.0,1800,82.420479
1951.0,1800,90.488865
1154.0,1800,96.75703
-4030.0,1800,104.05152
-133.0,1800,110.200768
8967.0,1800,116.812934
-136.0,1800,123.030478
1410.0,1800,130.014606
-5806.0,1800,136.382386
-15040.0,1800,143.915204
-7420.0,1800,148.908752
2077.0,1800,154.563237
2227.0,1800,160.415046
1824.0,1800,167.173567
-130.0,1800,172.385901
-133.0,1800,179.625107
-9673.0,1800,186.448042
1610.0,1800,196.285561
-136.0,1800,204.27256
