#{"t_start": 1780298928.1485724, "env_id": "None"}
r,l,t
-22118.2,1800,14.232567
-7971.2,1800,21.996363
-2168.0,1800,28.456957
-3937.8,1800,36.202034
-297.7,1800,42.858448
-348.2,1800,50.408633
-230.7,1800,57.447838
-176.4,1800,64.674406
-151.5,1800,71.732853
-116.7,1800,78.890315
-120.9,1800,85.954016
-90.0,1800,93.674203
-100.2,1800,100.163534
-108.9,1800,108.001716
-114.9,1800,114.430927
-96.0,1800,122.26599
-90.0,1800,128.660261
-99.3,1800,136.302916
-90.0,1800,143.099314
-99.3,1800,150.288193
-93.0,1800,157.320855
-103.2,1800,164.430943
-121.0,1800,171.461188
-90.0,1800,178.714411
-99.6,1800,185.641183
-110.4,1800,193.412824
-98.4,1800,199.799322
-90.0,1800,207.537313
-108.3,1800,213.993472
-115.4,1800,221.865238
-111.0,1800,228.351636
-102.3,1800,236.018455
-115.5,1800,243.654062
-100.5,1800,250.146485
-102.6,1800,257.923206
-96.6,1800,264.244646
-109.5,1800,271.996797
-104.4,1800,278.620698
-90.0,1800,286.144068
-128.4,1800,293.091716
-93.6,1800,300.094566
-90.0,1800,307.016113
-99.6,1800,314.014535
-90.0,1800,320.847303
-96.6,1800,328.136067
-90.0,1800,334.803995
-2977.7,1800,342.548943
-109.2,1800,348.929148
-93.9,1800,356.638613
-97.8,1800,362.911148
-90.0,1800,370.631213
-106.8,1800,377.279878
-99.9,1800,384.767324
-109.2,1800,391.688163
-111.6,1800,398.729307
