#{"t_start": 1780298928.1493194, "env_id": "None"}
r,l,t
-17424.0,1800,14.232287
-6770.9,1800,21.996147
-2145.6,1800,28.45663
-716.5,1800,36.201691
-372.8,1800,42.858351
-368.4,1800,50.408374
-241.7,1800,57.447507
-124.3,1800,64.674114
-142.5,1800,71.732555
-108.9,1800,78.890047
-132.1,1800,85.953729
-118.5,1800,93.674157
-93.0,1800,100.163215
-114.1,1800,108.001385
-96.3,1800,114.430603
-106.8,1800,122.265662
-90.0,1800,128.659944
-106.8,1800,136.302608
-94.8,1800,143.099182
-90.0,1800,150.288151
-104.4,1800,157.320538
-112.6,1800,164.430585
-11532.8,1800,171.460875
-100.5,1800,178.714449
-90.0,1800,185.640856
-111.0,1800,193.41247
-96.6,1800,199.799102
-96.3,1800,207.537088
-90.0,1800,213.993175
-96.0,1800,221.864981
-95.4,1800,228.351597
-106.8,1800,236.018148
-97.2,1800,243.653718
-99.3,1800,250.146232
-113.4,1800,257.922899
-99.9,1800,264.244357
-120.8,1800,271.996544
-123.9,1800,278.620513
-122.7,1800,286.143765
-99.6,1800,293.09138
-102.0,1800,300.09426
-96.3,1800,307.015795
-119.1,1800,314.01425
-102.3,1800,320.847001
-96.6,1800,328.135962
-90.0,1800,334.803673
-94.8,1800,342.548618
-99.6,1800,348.928849
-115.5,1800,356.638369
-98.4,1800,362.910831
-114.3,1800,370.630865
-103.8,1800,377.27972
-89.1,1800,384.767073
-90.0,1800,391.687886
-97.2,1800,398.729046
