#{"t_start": 1782703144.7273128, "env_id": "None"}
r,l,t
-15651.7,1800,11.826778
-6560.5,1800,18.859104
-1462.8,1800,25.120628
-531.4,1800,33.635016
-322.7,1800,39.911244
-205.6,1800,46.026786
-102.0,1800,51.063686
-117.1,1800,58.917431
-90.0,1800,67.151202
-93.0,1800,75.876364
-90.0,1800,82.31863
-90.0,1800,90.642497
-90.0,1800,97.815361
-90.0,1800,105.882719
-90.0,1800,112.703701
-93.0,1800,120.212271
-90.0,1800,126.753047
-90.0,1800,133.977697
-90.0,1800,140.910231
-90.0,1800,148.015203
-90.0,1800,154.282206
-90.0,1800,160.793649
-90.0,1800,165.511324
-90.0,1800,171.21307
-90.0,1800,176.391108
-90.0,1800,182.490022
-90.0,1800,187.481887
-90.0,1800,193.296156
-90.0,1800,198.906536
-90.0,1800,204.830154
-90.0,1800,210.403656
-90.0,1800,216.594427
-729.0,1800,222.34574
-99.0,1800,227.385044
-90.0,1800,233.236342
-90.0,1800,238.479691
-90.0,1800,244.359226
-90.0,1800,249.438603
-90.0,1800,255.912945
-90.0,1800,261.16651
-93.0,1800,267.568173
-90.0,1800,273.051749
-90.0,1800,279.521389
-90.0,1800,285.238814
-90.0,1800,291.159065
-90.0,1800,296.458062
-90.0,1800,302.929509
-90.0,1800,308.26254
-90.0,1800,314.033209
-90.0,1800,319.069037
-90.0,1800,326.245971
-90.0,1800,331.669987
-90.0,1800,337.689497
-93.0,1800,343.327679
-90.0,1800,349.661357
