#{"t_start": 1782703144.7388635, "env_id": "None"}
r,l,t
-15308.1,1800,11.815228
-5302.9,1800,18.849563
-1454.8,1800,25.11007
-576.8,1800,33.625656
-264.2,1800,39.899694
-186.1,1800,46.01724
-108.0,1800,51.054146
-96.0,1800,58.907426
-90.0,1800,67.140171
-90.0,1800,75.865814
-90.0,1800,82.307079
-90.0,1800,90.633313
-90.0,1800,97.80381
-93.0,1800,105.871169
-96.0,1800,112.707498
-90.0,1800,120.200721
-90.0,1800,126.743501
-90.0,1800,133.966146
-90.0,1800,140.89868
-90.0,1800,148.005661
-90.0,1800,154.270656
-90.0,1800,160.784106
-90.0,1800,165.500773
-90.0,1800,171.208299
-90.0,1800,176.379557
-90.0,1800,182.478472
-90.0,1800,187.470336
-90.0,1800,193.285604
-90.0,1800,198.910831
-90.0,1800,204.819726
-90.0,1800,210.392106
-90.0,1800,216.582876
-565.5,1800,222.335189
-105.0,1800,227.373494
-93.0,1800,233.224791
-90.0,1800,238.468141
-90.0,1800,244.347675
-90.0,1800,249.427052
-90.0,1800,255.901394
-90.0,1800,261.15496
-90.0,1800,267.556622
-90.0,1800,273.040198
-90.0,1800,279.510844
-90.0,1800,285.227263
-90.0,1800,291.148506
-90.0,1800,296.448008
-90.0,1800,302.918959
-90.0,1800,308.250989
-90.0,1800,314.023775
-90.0,1800,319.057486
-90.0,1800,326.23952
-90.0,1800,331.658437
-90.0,1800,337.677946
-93.0,1800,343.317128
-115.5,1800,349.650807
