#{"t_start": 1782703144.7388635, "env_id": "None"}
r,l,t
-15612.2,1800,11.815228
-5529.6,1800,18.849563
-1572.6,1800,25.11007
-528.4,1800,33.623465
-259.5,1800,39.899694
-138.0,1800,46.01724
-105.0,1800,51.054146
-115.5,1800,58.906905
-90.0,1800,67.140171
-93.0,1800,75.865814
-90.0,1800,82.307079
-90.0,1800,90.632805
-90.0,1800,97.80381
-90.0,1800,105.871169
-90.0,1800,112.706552
-90.0,1800,120.200721
-90.0,1800,126.741496
-90.0,1800,133.966146
-90.0,1800,140.89868
-90.0,1800,148.005661
-90.0,1800,154.270656
-90.0,1800,160.784106
-90.0,1800,165.499774
-90.0,1800,171.208299
-90.0,1800,176.379557
-90.0,1800,182.478472
-90.0,1800,187.470336
-90.0,1800,193.285604
-90.0,1800,198.910831
-90.0,1800,204.819366
-90.0,1800,210.392106
-90.0,1800,216.582876
-747.0,1800,222.335189
-96.0,1800,227.373494
-93.0,1800,233.224791
-90.0,1800,238.468141
-90.0,1800,244.347675
-93.0,1800,249.427052
-90.0,1800,255.901394
-93.0,1800,261.15496
-90.0,1800,267.556622
-90.0,1800,273.040198
-90.0,1800,279.510844
-90.0,1800,285.227263
-90.0,1800,291.148506
-90.0,1800,296.446894
-90.0,1800,302.918959
-90.0,1800,308.250989
-90.0,1800,314.022676
-90.0,1800,319.057486
-90.0,1800,326.23952
-90.0,1800,331.658437
-90.0,1800,337.677946
-90.0,1800,343.317128
-115.5,1800,349.650807
