cum_t,r,ma
91800,-100.8,-349.29600000000005
91800,-90.0,-349.29600000000005
93600,-106.2,-349.4940000000001
93600,-93.9,-349.5720000000001
93600,-106.8,-349.62000000000006
93600,-103.8,-349.74000000000007
95400,-89.1,-348.954
95400,-99.9,-348.9600000000001
95400,-90.0,-348.7200000000001
95400,-107.1,-348.99000000000007
97200,-102.0,-348.978
97200,-103.5,-349.0800000000001
97200,-109.2,-349.2900000000001
97200,-90.0,-349.2900000000001
99000,-97.2,-349.4340000000001
99000,-111.6,-349.74000000000007
99000,-108.6,-349.5300000000001
99000,-98.1,-349.50000000000006
