epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
1,0.8655502796173096,0.657120943069458,0.7716871500015259,0.7240827083587646,0.8808016777038574,0.3666171133518219,0.8845029473304749,0.5024917125701904
2,0.9023382663726807,0.5282407999038696,0.8762404322624207,0.7498798370361328,0.8880098462104797,0.340315580368042,0.9550561904907227,0.49418604373931885
3,0.9055907130241394,0.5056484341621399,0.8804610371589661,0.7588527202606201,0.8966244459152222,0.3890535235404968,0.9569733142852783,0.5357142686843872
4,0.9045798182487488,0.4889906644821167,0.869328498840332,0.7675052285194397,0.8982067704200745,0.3240646421909332,1.0,0.5191029906272888
5,0.9054588675498962,0.4661824107170105,0.8686013221740723,0.7721518874168396,0.6149789094924927,0.6321600675582886,0.28713297843933105,0.5523256063461304
6,0.9093706011772156,0.4673489034175873,0.8805317878723145,0.7747156023979187,0.9048874974250793,0.45982396602630615,0.9955157041549683,0.5531561374664307
7,0.9115682244300842,0.4565126299858093,0.884244978427887,0.7796827554702759,0.9013713002204895,0.32991790771484375,0.9969087839126587,0.5357142686843872
8,0.9138537049293518,0.44626790285110474,0.8901038765907288,0.7825669050216675,0.9018987417221069,0.3376423716545105,0.9938837885856628,0.539867103099823
9,0.9092387557029724,0.4297643005847931,0.8571673035621643,0.8029162287712097,0.9043600559234619,0.42213210463523865,0.9969879388809204,0.5498338937759399
10,0.9157876372337341,0.4272092282772064,0.8845812082290649,0.7969876527786255,0.9055907130241394,0.39028698205947876,1.0,0.5539867281913757
11,0.9129746556282043,0.4072779715061188,0.8631327748298645,0.8114084005355835,0.9055907130241394,0.3689632713794708,0.9955423474311829,0.5564783811569214
12,0.91117262840271,0.4104577898979187,0.8545026779174805,0.8149334788322449,0.9043600559234619,0.3813779056072235,1.0,0.5481727719306946
13,0.9119198322296143,0.4016348421573639,0.8526718616485596,0.8207018375396729,0.9040084481239319,0.3275274336338043,0.9969788789749146,0.5481727719306946
14,0.9105573296546936,0.39771363139152527,0.8515546917915344,0.8162153363227844,0.9006680846214294,0.32719019055366516,1.0,0.5307309031486511
15,0.917633593082428,0.37775254249572754,0.8676545023918152,0.82566899061203,0.9018987417221069,0.3307640254497528,1.0,0.5365448594093323
16,0.9177215099334717,0.3869245648384094,0.8710718750953674,0.8216632008552551,0.9055907130241394,0.34336814284324646,0.997019350528717,0.5556478500366211
17,0.9159194827079773,0.4012296795845032,0.8716935515403748,0.8131709694862366,0.9031293988227844,0.3216850459575653,1.0,0.5423588156700134
18,0.920007050037384,0.39125770330429077,0.8846354484558105,0.8146130442619324,0.9024261832237244,0.3361828327178955,1.0,0.5390365719795227
19,0.9236990213394165,0.37998977303504944,0.89455246925354,0.81829833984375,0.9015471339225769,0.3355962038040161,1.0,0.5348837375640869
20,0.9233474135398865,0.3626830577850342,0.8864066004753113,0.826470136642456,0.905063271522522,0.34642916917800903,1.0,0.5514950156211853
